Tiempo_ms	Voltaje_V
3226	1.95100
3227	2.11138
3310	0.95734
3311	1.70924
3311	1.50777
3312	1.98483
3312	1.19024
3314	2.19517
3315	2.33299
3315	0.91223
3316	2.18066
3317	2.35152
3317	0.94043
3318	2.14844
3318	1.02260
3320	2.26934
3320	0.90014
3321	2.34507
3321	0.95090
3322	2.33702
3322	0.89289
3323	2.26526
3323	1.11128
3323	1.99450
3325	1.00246
3326	2.30801
3326	0.88806
3327	2.33782
3327	0.95251
3329	1.37156
3329	1.92602
3331	1.46991
3332	1.74630
3333	2.08640
3333	1.09033
3334	2.04043
3334	1.07422
3336	2.32171
3336	0.96137
3337	1.81317
3338	1.25796
3339	1.95986
3340	1.87284
3342	1.91635
3344	1.69796
3345	1.59720
3345	1.56014
3346	1.72777
3346	1.44976
3348	2.06787
3349	2.32332
3349	0.91787
3350	2.33540
3350	0.91706
3351	2.30157
3351	0.98393
3352	2.23545
3352	1.02583
3353	2.19194
3354	2.34024
3354	0.89047
3355	2.34991
3355	0.90014
3356	2.32332
3356	0.94043
3357	2.22900
3357	1.08550
3358	2.08076
3358	1.44976
3360	2.18308
3360	0.88806
3361	2.34346
3361	0.93317
3362	2.24915
3363	0.93237
3364	2.20000
3365	2.35232
3365	0.92512
3366	2.22659
3366	1.14753
3368	1.35142
3369	2.29270
3370	1.88654
3413	1.96228
3413	0.99038
3414	2.34104
3414	1.05649
3415	1.97436
3415	1.46185
3416	1.53436
3416	1.97355
3417	1.03877
3418	2.32654
3418	0.97507
3420	2.03398
3420	0.95171
3421	1.30389
3422	2.19919
3422	0.89531
3423	1.00649
3424	1.94777
3424	1.62460
3464	1.12256
3465	1.43763
3465	1.65204
3466	1.91232
3466	1.05005
3467	1.09194
3468	1.84379
3468	1.16284
3469	2.26526
3469	0.89047
3470	0.88483
3471	2.34346
3471	0.91062
3472	0.94204
3473	1.12659
3474	2.27740
3474	0.88322
3475	2.33782
3475	0.95815
3476	1.16768
3476	1.84701
3477	1.59640
3477	1.40540
3478	2.03076
3478	1.07261
3479	2.26445
3479	0.94123
3480	1.12175
3481	2.21692
3481	0.95573
3482	1.12739
3483	1.41185
3483	1.70119
3484	1.67379
3484	1.45943
3485	1.88332
3485	1.21763
3486	2.10332
3486	1.07905
3487	2.21289
3487	0.97024
3488	1.03152
3489	2.17180
3489	1.09114
3490	2.09687
3490	1.18218
3491	2.01142
3491	1.21602
3492	2.02431
3492	1.24749
3493	2.16697
3493	1.08791
3494	2.16455
3494	1.05085
3495	2.17180
3495	1.12498
3496	1.52228
3496	1.74389
3497	1.40137
3498	1.99531
3498	1.16687
3499	2.13877
3499	0.99763
3500	1.82929
3500	1.56739
3501	1.55209
3501	1.81881
3502	1.28616
3503	2.04123
3503	1.10242
3504	0.95412
3505	1.53275
3505	1.86479
3506	1.24668
3507	2.11057
3507	1.02502
3508	2.29593
3508	0.89772
3509	0.97588
3510	0.91062
3511	1.02019
3512	1.36753
3513	2.08237
3513	0.96298
3514	1.30389
3515	2.12991
3515	0.95815
3516	1.31114
3517	2.16616
3517	0.93237
3518	1.30630
3519	2.27659
3520	1.08711
3521	2.31929
3521	1.24668
3522	1.67621
3522	1.87768
3523	1.08389
3524	2.29673
3524	1.16526
3570	1.39573
3571	2.31526
3571	0.89450
3572	0.91223
3573	0.90820
3574	2.21370
3574	1.23535
3574	1.67138
3575	1.88735
